course_name,original_link,actual_link,group_idx,category_idx,teach_idx,target,location,schedule
제2회 여름 영어 독서 캠프,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=31&teach_idx=5111&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,31,0,5111,대상 : 초등 4~6학년 15명,장소 : 다목적실 및 자료실,"2025-08-06 ~ 2025-08-08 13:00 ~ 17:00 (수 , 목 , 금)"
[초등3학년]오싹오싹 도서관괴담,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5120&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5120,대상 : 초등학교 3학년 16명,장소 : 신대방누리도서관,2025-08-02 16:00 ~ 19:00 (토)
[8월] 책 속으로 풍덩~ (초등 1~2학년),#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=32&teach_idx=5115&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,32,0,5115,대상 : 초등 1~2학년 6명,장소 : 대방어린이도서관 어울림방,2025-08-03 14:00 ~ 15:00 (일)
[8월] 책 속으로 풍덩~ (유아 6~7세),#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=32&teach_idx=5117&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,32,0,5117,대상 : 유아 6~7세 6명,장소 : 대방어린이도서관 어울림방,2025-08-10 15:00 ~ 16:00 (일)
[8월] 책 속으로 풍덩~ (초등 3~4학년),#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=32&teach_idx=5116&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,32,0,5116,대상 : 초등 3~4학년 6명,장소 : 대방어린이도서관 어울림방,2025-08-03 15:30 ~ 16:30 (일)
여름방학 특별프로그램《읽는 여름》- 초 3~4...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5103&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5103,대상 : 어린이(초등3~4학년) 8명,장소 : 까망돌도서관 프로그램실(B1),2025-08-01 ~ 2025-08-08 13:00 ~ 14:30 (금)
여름방학 특별프로그램《읽는 여름》- 초 1~2...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5101&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5101,대상 : 어린이(초등1~2학년) 8명,장소 : 까망돌도서관 세미나실(4층),2025-08-06 ~ 2025-08-13 13:00 ~ 14:30 (수)
여름방학 특별프로그램《읽는 여름》- 초 1~2...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5100&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5100,대상 : 어린이(초등 1~2학년) 8명,장소 : 까망돌도서관 세미나실(4층),2025-08-05 ~ 2025-08-12 13:00 ~ 14:30 (화)
여름방학 특별프로그램《읽는 여름》- 초 3~4...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5104&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5104,대상 : 어린이(초등3~4학년) 8명,장소 : 까망돌도서관 프로그램실(B1),2025-08-02 ~ 2025-08-09 13:00 ~ 14:30 (토)
청소년 생애주기별 프로그램《진로캠프 디딤돌》,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5099&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5099,대상 : 청소년(중1~2학년) 10명,장소 : 까망돌도서관 공연장(B1),"2025-08-05 ~ 2025-08-09 13:00 ~ 15:00 (화 , 토)"
2025년 사당솔밭도서관 여름 독서교실,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=5087&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,5087,대상 : 초등학교 1~3학년 10명,장소 : 사당솔밭도서관 2층 어린이자료실,"2025-08-05 ~ 2025-08-07 10:00 ~ 11:30 (화 , 수 , 목)"
여름방학 특별프로그램《읽는 여름》- 초 3~4...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5102&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5102,대상 : 어린이(초등3~4학년) 8명,장소 : 까망돌도서관 프로그램실(B1),2025-08-07 ~ 2025-08-14 13:00 ~ 14:30 (목)
<ㅁ의 재발견> 스토리와 함께하는 CSI과학수...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=5122&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,5122,대상 : 초등 1~4학년 8명,장소 : 사당솔밭도서관 3층 문화교실,2025-08-09 ~ 2025-08-23 14:00 ~ 15:30 (토)
[초등4학년]오싹오싹 도서관 괴담,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5121&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5121,대상 : 초등학교 4학년 16명,장소 : 신대방누리도서관,2025-08-09 16:00 ~ 19:00 (토)
노인인지활동 책놀이,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5110&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5110,대상 : 성인 10명,장소 : 김영삼도서관 지하 2층 난쏘공,2025-08-12 ~ 2025-09-30 10:00 ~ 13:00 (화)
종이컵 인형극 「망태할아버지가 온다」,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5160&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5160,대상 : 5세 이상 어린이 및 보호자 30명,장소 : 김영삼도서관 대강당(B3층),2025-08-30 14:00 ~ 15:00 (토)
독서동아리 양성 교육 심화과정,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5161&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5161,대상 : 성인 15명 15명,장소 : 까망돌도서관 세미나실(4F),2025-09-02 ~ 2025-09-30 10:00 ~ 12:00 (화)
[우리동네 지식이웃]우리마을 지식Talk-정치...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5119&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5119,대상 : 성인 15명 15명,장소 : 4층 세미나실,2025-08-02 10:00 ~ 11:00 (토)
[메이커 사업] 여름방학 메이커 캠프! (저학...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5089&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5089,대상 : 초등1~3학년 12명,장소 : 까망돌도서관 B1 프로그램실,"2025-08-05 ~ 2025-08-13 13:00 ~ 15:00 (화 , 수)"
[메이커 사업] 여름방학 메이커 캠프! (고학...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5090&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5090,대상 : 초등4~6학년 12명,장소 : 까망돌도서관 B1 프로그램실,"2025-08-05 ~ 2025-08-13 10:00 ~ 12:00 (화 , 수)"
"북스타트 책놀이 : 함께 읽고, 함께 놀자!",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=32&teach_idx=5072&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,32,0,5072,대상 : 19개월~35개월+양육자(2인 1팀) 6명,장소 : 대방어린이도서관 어울림방,2025-08-31 11:00 ~ 12:00 (일)
"북스타트 책놀이:함께 읽고,함께 놀자!",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=33&teach_idx=5073&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,33,0,5073,대상 : 19개월~35개월+양육자(2인1팀) 5명,장소 : 동작샘터도서관 어린이자료실,2025-08-31 14:00 ~ 15:00 (일)
<□의 재발견> 옛 이야기와 함께하는 신나는 ...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=5067&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,5067,대상 : 초등학교 3~4학년 10명,장소 : 김영삼도서관 지하 3층 봄봄,2025-07-19 ~ 2025-08-09 10:30 ~ 12:00 (토)
사당솔밭도서관 여름방학 프로그램 <두뇌팡팡 보...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=5098&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,5098,대상 : 초등 4~6학년 5명 5명,장소 : 3층 문화교실,2025-08-01 14:00 ~ 16:00 (금)
[꿈라이브러리]작사 작곡 아틀리에,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5088&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5088,대상 : 초등 4~6학년 14명,장소 : 4층 프로그램실,2025-07-27 ~ 2025-08-10 14:00 ~ 15:30 (일)
글로벌 문화체험관 II,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5082&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5082,대상 : 초등 2~3학년 10명,장소 : 4층 프로그램실,"2025-07-31 ~ 2025-08-08 10:00 ~ 11:30 (목 , 금)"
[솔밭공작소] 미디어 역사 체험,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=5076&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,5076,대상 : 초등학교 4~6학년 10명,"장소 : 3층 문화교실, 스튜디오 C","2025-08-05 ~ 2025-08-13 14:00 ~ 15:30 (화 , 수)"
까망돌도서관 문화예술특성화 사업 <오디오 동화...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5047&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5047,대상 : 초등 3~4학년 15명 15명,장소 : 까망돌도서관 프로그램실(B1),2025-07-18 ~ 2025-08-08 15:00 ~ 17:00 (금)
나랑 같이 놀래?,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5075&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5075,대상 : 6-7세 10명 10명,장소 : 신대방누리도서관 어린이자료실,2025-07-10 ~ 2025-09-04 16:00 ~ 17:00 (목)
밤하늘의 까망별 사업<별에서 온 그대 우주와 ...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=5054&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,5054,대상 : 성인 6명,장소 : 까망돌도서관 4층 세미나실,2025-07-10 ~ 2025-08-28 10:00 ~ 11:30 (목)
[길위의인문학]폭싹늙기전에! 나:다운 브랜딩,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5015&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5015,대상 : 성인 30명,장소 : 프로그램실,2025-07-15 ~ 2025-09-30 10:00 ~ 12:00 (화)
청소년 서포터즈 BOOKWAVE와 함께하는 영...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=31&teach_idx=5041&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,31,0,5041,대상 : 유아 5~6세 4명,장소 : 1층 자료실,2025-07-13 ~ 2025-12-14 14:00 ~ 14:40 (일)
[꿈다락문화예술학교]연극놀이로 만나는 박물관 ...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5038&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5038,대상 : 초등1-2학년 12명,장소 : 어린이자료실,2025-06-26 ~ 2025-08-14 15:30 ~ 18:30 (목)
"[꿈다락문화예술학교]걸리버 여행기,연극놀이로 ...",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5037&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5037,대상 : 20대~40대 12명,장소 : 프로그램실,2025-07-09 ~ 2025-08-27 18:30 ~ 21:30 (수)
[지혜학교]언어로 인간을 읽다[증원],#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=5025&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,5025,대상 : 관심 있는 성인 40명,장소 : 3층 문화교실,2025-07-03 ~ 2025-09-25 10:00 ~ 13:00 (목)
[길위의인문학]부모독서지도특강,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=59&teach_idx=5013&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,59,0,5013,대상 : 성인 30명,장소 : 프로그램실,2025-09-04 10:30 ~ 12:30 (목)
국사봉생태학교,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=36&teach_idx=5016&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,36,0,5016,대상 : 초등 저학년 10명,장소 : 국사봉숲속작은도서관 주변 숲,2025-06-28 ~ 2025-11-22 13:00 ~ 15:00 (토)
요모조모 한국독립운동,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=57&teach_idx=4995&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,57,0,4995,대상 : 성인 30명,"장소 : 김영삼도서관, 용산역사박물관",2025-06-14 ~ 2025-09-06 10:00 ~ 13:00 (토)
"[길 위의 인문학] 인생 시네마, 내 삶의 이...",#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=4974&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,4974,대상 : 성인 25명,장소 : 사당솔밭도서관 3층 문화교실,2025-06-13 ~ 2025-09-05 10:00 ~ 12:00 (금)
AR 영어독서레벨테스트 프로그램 모집[1차],#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=31&teach_idx=4857&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,31,0,4857,대상 : 동작구 초등학생 45명,"장소 : 동작영어마루도서관, 온라인플랫폼","2025-05-01 ~ 2025-10-31 09:00 ~ 18:00 (일 , 월 , 화 , 수 , 목 , 금 , 토)"
[4~11월] 역사가 이토록 재밌을 줄이야,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=32&teach_idx=4845&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,32,0,4845,대상 : 초등 3~4학년 12명,장소 : 대방어린이도서관 어울림방,2025-04-20 ~ 2025-11-16 15:30 ~ 16:30 (일)
미드동아리 미드마루 추가 모집,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=31&teach_idx=4856&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,31,0,4856,대상 : 성인 3명,장소 : 동작영어마루도서관,2025-04-11 ~ 2025-12-26 10:00 ~ 12:00 (금)
까망돌 청소년 자원봉사단,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=4787&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,4787,대상 : 중학생1~3학년 15명,장소 : B1프로그램실,2025-04-19 ~ 2025-11-22 10:00 ~ 12:00 (토)
[4~11월] 초등 고학년 독서동아리 신규 회...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=32&teach_idx=4807&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,32,0,4807,대상 : 초등 4~6학년 12명,장소 : 대방어린이도서관 어울림방,2025-04-05 ~ 2025-11-01 11:00 ~ 12:00 (토)
2025년 사당솔밭도서관 '솔빛' 모니터단 모...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=56&teach_idx=4805&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,56,0,4805,대상 : 누구나 8명,장소 : 사당솔밭도서관,"2025-04-12 ~ 2025-12-31 09:00 ~ 22:00 (일 , 화 , 수 , 목 , 금 , 토)"
까망돌도서관 어린이동아리 <꿈꾸는 조약돌> 모...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=58&teach_idx=4785&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,58,0,4785,대상 : 초등 1~3학년 8명,장소 : 까망돌도서관,2025-04-05 ~ 2025-11-08 10:00 ~ 11:00 (토)
성인 독서동아리 <채움> 2025년 신규 회원...,#,https://lib.dongjak.go.kr/dj/module/teach/detail.do?group_idx=32&teach_idx=4641&menu_idx=32&category_idx=0&searchCate1=16&large_category_idx=0&category_idx=0,32,0,4641,대상 : 성인 5명,장소 : 대방어린이도서관 어울림방,2025-01-15 ~ 2025-12-17 10:00 ~ 12:00 (수)
